id,nombre,id_provincia
06833,Tres Arroyos,6
14056,Juárez Celman,14
18028,Concepción,18
58112,Zapala,58
06686,Rojas,6
82007,Belgrano,82
06007,Adolfo Alsina,6
06014,Adolfo Gonzales Chaves,6
06021,Alberti,6
06028,Almirante Brown,6
06035,Avellaneda,6
06042,Ayacucho,6
06049,Azul,6
06056,Bahía Blanca,6
06063,Balcarce,6
06070,Baradero,6
06077,Arrecifes,6
06084,Benito Juárez,6
06091,Berazategui,6
06098,Berisso,6
06105,Bolívar,6
06112,Bragado,6
06119,Brandsen,6
06126,Campana,6
06134,Cañuelas,6
06140,Capitán Sarmiento,6
06147,Carlos Casares,6
06175,Colón,6
06154,Carlos Tejedor,6
06161,Carmen de Areco,6
06168,Castelli,6
06182,Coronel de Marina Leonardo Rosales,6
06189,Coronel Dorrego,6
06196,Coronel Pringles,6
06203,Coronel Suárez,6
06210,Chacabuco,6
06218,Chascomús,6
06466,Lezama,6
06224,Chivilcoy,6
06231,Daireaux,6
06238,Dolores,6
06245,Ensenada,6
06252,Escobar,6
06260,Esteban Echeverría,6
06266,Exaltación de la Cruz,6
06270,Ezeiza,6
06274,Florencio Varela,6
06277,Florentino Ameghino,6
06280,General Alvarado,6
06287,General Alvear,6
06399,Guaminí,6
06294,General Arenales,6
06301,General Belgrano,6
06308,General Guido,6
06315,General Juan Madariaga,6
06322,General La Madrid,6
06329,General Las Heras,6
06336,General Lavalle,6
06343,General Paz,6
06351,General Pinto,6
06357,General Pueyrredón,6
06364,General Rodríguez,6
06371,General San Martín,6
06385,General Viamonte,6
06392,General Villegas,6
06406,Hipólito Yrigoyen,6
06408,Hurlingham,6
06410,Ituzaingó,6
06412,José C. Paz,6
06413,Junín,6
06420,La Costa,6
06427,La Matanza,6
06434,Lanús,6
06441,La Plata,6
06448,Laprida,6
06455,Las Flores,6
06462,Leandro N. Alem,6
06469,Lincoln,6
06476,Lobería,6
06483,Lobos,6
06490,Lomas de Zamora,6
06497,Luján,6
06505,Magdalena,6
06511,Maipú,6
06515,Malvinas Argentinas,6
06518,Mar Chiquita,6
06525,Marcos Paz,6
06532,Mercedes,6
06539,Merlo,6
06547,Monte,6
06553,Monte Hermoso,6
06560,Moreno,6
06568,Morón,6
06574,Navarro,6
06581,Necochea,6
06588,9 de Julio,6
06595,Olavarría,6
06602,Patagones,6
06609,Pehuajó,6
